TEAM_NAME,KLAW_Score
Portland Trail Blazers,7.2039
Los Angeles Lakers,3.84
Philadelphia 76ers,3.822
Charlotte Hornets,3.5557199999999995
New York Knicks,3.2526000000000006
Brooklyn Nets,2.6730000000000005
Denver Nuggets,2.45763
Phoenix Suns,2.32544
Utah Jazz,2.0412
New Orleans Pelicans,1.2513199999999998
Washington Wizards,0.62823
Oklahoma City Thunder,0.0
Milwaukee Bucks,-0.16240000000000002
Orlando Magic,-0.5542400000000001
Miami Heat,-0.57132
LA Clippers,-0.7065
Sacramento Kings,-0.7336
Indiana Pacers,-0.8400000000000001
Dallas Mavericks,-0.8447500000000001
Chicago Bulls,-0.8640000000000001
Memphis Grizzlies,-0.925
Atlanta Hawks,-1.08
San Antonio Spurs,-1.11144
Toronto Raptors,-1.1843999999999997
Golden State Warriors,-1.2249999999999999
Detroit Pistons,-1.33152
Houston Rockets,-1.6381199999999998
Cleveland Cavaliers,-1.7342999999999997
Boston Celtics,-1.7972500000000002
Minnesota Timberwolves,-2.6611200000000004
